AGCNr,Name,RAdeg_HI,DECdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,sigW,W20,HIflux,sigflux,SNR,RMS,Dist,sigDist,logMH,siglogMH,HIcode
5220,N2987...,146.42458,4.93972,146.42207,4.94222,3741,334,7,357,6.43,0.12,29.9,2.63,56.6,2.3,9.69,0.06,1
193913,........,146.43625,16.13833,146.42667,16.14444,8461,323,5,331,1.55,0.11,7.9,2.43,125.4,2.2,9.76,0.06,1
198547,........,146.45541,3.66917,146.45876,3.66972,7211,79,5,98,0.76,0.06,8.3,2.28,107.8,2.3,9.32,0.06,1
191871,........,146.45749,8.91028,146.46042,8.90944,5231,108,7,128,0.96,0.06,9.8,2.08,77.2,2.4,9.13,0.06,1
5224,035-048.,146.46501,2.9825,146.46791,2.9775,1931,167,2,183,10.6,0.08,75.7,2.42,29.3,4.3,9.33,0.13,1
192837,........,146.46916,5.03639,146.4825,5.04944,3663,60,11,108,1.02,0.07,12.6,2.3,55.5,2.4,8.87,0.06,1
191323,........,146.49542,3.13306,146.49501,3.14472,5963,244,26,251,3.1,0.1,17.1,2.59,90.0,2.3,9.77,0.05,1
193914,........,146.50374,15.11639,146.50333,15.12111,8070,243,12,260,1.59,0.07,13.2,1.72,119.8,2.4,9.73,0.05,1
5228,007-031.,146.51749,1.66972,146.515,1.66806,1872,262,2,281,18.64,0.11,96.8,2.66,29.3,4.3,9.58,0.14,1
193703,........,146.53333,0.78694,146.53082,0.78194,6070,116,8,131,1.04,0.08,7.1,3.05,91.6,2.2,9.31,0.06,1
193804,........,146.53792,6.77306,146.5325,6.77417,5060,163,8,198,2.16,0.08,15.1,2.49,74.9,2.3,9.46,0.05,1
198338,........,146.54375,8.71556,146.535,8.71805,2581,69,11,100,0.61,0.06,7.3,2.25,39.7,2.3,8.35,0.08,1
191852,........,146.55957,10.17083,146.55833,10.16583,16947,151,9,174,1.1,0.08,8.8,2.26,246.8,2.3,10.2,0.05,1
192626,........,146.56624,7.92806,146.55583,7.93222,9198,108,13,130,0.62,0.05,7.1,1.86,136.1,2.4,9.43,0.06,1
5229,N2990...,146.57541,5.70639,146.57167,5.70833,3074,297,4,330,16.48,0.11,82.4,2.59,45.3,9.6,9.9,0.19,1
193915,........,146.57834,13.75,146.575,13.74556,7040,201,6,214,1.49,0.07,11.1,2.11,105.1,2.3,9.59,0.05,1
5230,I.564...,146.58208,3.06139,146.58708,3.07139,5983,475,7,519,12.01,0.14,43.0,2.63,90.3,2.3,10.36,0.05,1
190491,063-061.,146.59332,9.16639,146.59375,9.16472,5988,281,4,304,4.27,0.1,23.1,2.46,90.2,2.1,9.91,0.05,1
193706,........,146.61792,0.68583,146.61125,0.69306,7532,242,16,269,1.42,0.1,7.5,2.72,112.5,2.3,9.63,0.06,1
193916,........,146.62833,13.42861,146.62083,13.43306,5887,81,5,90,0.67,0.05,7.5,2.18,88.7,2.2,9.09,0.06,1
190788,092-049.,146.63083,15.89305,146.62959,15.88611,3808,226,3,242,1.88,0.08,12.6,2.21,74.8,15.4,9.39,0.18,1
193981,........,146.63582,11.43944,146.63916,11.43667,14492,227,33,255,0.99,0.09,6.6,2.21,211.7,2.3,10.02,0.06,1
193917,........,146.65207,15.13194,146.65207,15.13,7901,232,10,256,1.06,0.07,9.0,1.72,117.4,2.2,9.54,0.05,1
193788,........,146.66624,15.27972,146.66458,15.27722,5951,132,5,155,2.36,0.07,20.7,2.2,89.5,2.3,9.65,0.05,1
193784,........,146.67416,14.19694,146.67125,14.19778,3738,190,2,209,2.96,0.08,20.9,2.3,56.2,2.3,9.34,0.06,1
198456,........,146.6779,7.13833,146.67667,7.13528,1886,57,6,78,0.74,0.06,9.1,2.37,29.5,2.2,8.18,0.09,1
